Data,Clic,Impressioni,CTR,Posizione
2022-06-13,256,31822,0.8%,25.53
2022-06-12,279,35347,0.79%,27.1
2022-06-11,294,33682,0.87%,26.97
2022-06-10,282,31900,0.88%,27.02
2022-06-09,286,32011,0.89%,26.01
2022-06-08,287,32587,0.88%,25.91
2022-06-07,325,32875,0.99%,25.95
2022-06-06,300,30613,0.98%,24.72
2022-06-05,302,32173,0.94%,24.95
2022-06-04,244,28193,0.87%,23.76
2022-06-03,294,29981,0.98%,25.73
2022-06-02,263,27593,0.95%,23.99
2022-06-01,266,30614,0.87%,24.84
2022-05-31,258,32077,0.8%,25.08
2022-05-30,295,31336,0.94%,24.34
2022-05-29,305,36049,0.85%,26.07
2022-05-28,316,32274,0.98%,25.79
2022-05-27,295,29476,1%,25.6
2022-05-26,254,31519,0.81%,25.81
2022-05-25,254,30566,0.83%,25.43
2022-05-24,327,30629,1.07%,24.8
2022-05-23,294,35292,0.83%,25.46
2022-05-22,326,36603,0.89%,26.4
2022-05-21,276,33017,0.84%,25.47
2022-05-20,294,31616,0.93%,26.04
2022-05-19,322,34105,0.94%,25.34
2022-05-18,373,33732,1.11%,23.74
2022-05-17,340,34647,0.98%,24.28
2022-05-16,349,37131,0.94%,24.64
2022-05-15,340,35310,0.96%,24.5
2022-05-14,314,34130,0.92%,25
2022-05-13,277,32309,0.86%,24.72
2022-05-12,378,31724,1.19%,23.29
2022-05-11,310,32560,0.95%,23.55
2022-05-10,318,34442,0.92%,23.74
2022-05-09,369,34630,1.07%,23.37
2022-05-08,334,35826,0.93%,24.64
2022-05-07,337,36568,0.92%,24.49
2022-05-06,349,34280,1.02%,23.54
2022-05-05,348,34747,1%,23.59
2022-05-04,338,36785,0.92%,23.48
2022-05-03,375,36856,1.02%,24.32
2022-05-02,375,38312,0.98%,24.11
2022-05-01,409,39130,1.05%,24.54
2022-04-30,368,34099,1.08%,23.97
2022-04-29,288,35527,0.81%,24.61
2022-04-28,313,35484,0.88%,23.22
2022-04-27,321,35506,0.9%,23.55
2022-04-26,352,35295,1%,23.09
2022-04-25,345,35672,0.97%,23.28
2022-04-24,361,37925,0.95%,23.63
2022-04-23,345,37006,0.93%,24.66
2022-04-22,345,33295,1.04%,23.11
2022-04-21,323,36297,0.89%,23.67
2022-04-20,324,35325,0.92%,25.43
2022-04-19,322,33834,0.95%,25.73
2022-04-18,343,32701,1.05%,26.09
2022-04-17,335,33587,1%,26.68
2022-04-16,374,34151,1.1%,27.25
2022-04-15,378,34769,1.09%,27.36
2022-04-14,336,33891,0.99%,27.15
2022-04-13,363,33977,1.07%,26.25
2022-04-12,345,33799,1.02%,25.77
2022-04-11,415,34875,1.19%,25.86
2022-04-10,373,36681,1.02%,25.44
2022-04-09,368,35418,1.04%,25.43
2022-04-08,304,34183,0.89%,26.84
2022-04-07,343,34978,0.98%,26.41
2022-04-06,330,34334,0.96%,26.68
2022-04-05,359,34165,1.05%,26.99
2022-04-04,359,36686,0.98%,27.1
2022-04-03,346,40249,0.86%,27.53
2022-04-02,343,42111,0.81%,26.53
2022-04-01,289,34656,0.83%,25.63
2022-03-31,357,36239,0.99%,26.31
2022-03-30,319,36546,0.87%,25.14
2022-03-29,346,34436,1%,24.18
2022-03-28,382,36638,1.04%,26.54
2022-03-27,331,40037,0.83%,26.81
2022-03-26,388,37509,1.03%,25.59
2022-03-25,355,35252,1.01%,26.28
2022-03-24,365,35342,1.03%,26.3
2022-03-23,358,35640,1%,25.2
2022-03-22,363,36045,1.01%,25.12
2022-03-21,363,36002,1.01%,24.37
2022-03-20,407,39494,1.03%,25.38
2022-03-19,361,38110,0.95%,24.98
2022-03-18,357,34504,1.03%,24.66
2022-03-17,286,36279,0.79%,25.46
2022-03-16,337,37400,0.9%,25.84
2022-03-15,323,41294,0.78%,26.64
2022-03-14,319,39750,0.8%,26.66
2022-03-13,352,39788,0.88%,26.21
2022-03-12,344,39269,0.88%,26.33
2022-03-11,289,35945,0.8%,26.09
2022-03-10,300,37940,0.79%,26.11
2022-03-09,327,38801,0.84%,26.15
2022-03-08,303,39518,0.77%,27.74
2022-03-07,321,38785,0.83%,26.4
2022-03-06,383,44643,0.86%,27.99
2022-03-05,324,41146,0.79%,28.09
2022-03-04,322,39674,0.81%,28.51
2022-03-03,281,40604,0.69%,28.95
2022-03-02,313,39789,0.79%,28.94
2022-03-01,316,42048,0.75%,28.98
2022-02-28,301,38194,0.79%,27.31
2022-02-27,327,43270,0.76%,27.86
2022-02-26,300,36814,0.81%,26.68
2022-02-25,293,35768,0.82%,27.6
2022-02-24,296,37252,0.79%,28.47
2022-02-23,367,41429,0.89%,26.75
2022-02-22,364,42381,0.86%,25.62
2022-02-21,367,43947,0.84%,25.65
2022-02-20,397,48328,0.82%,26.9
2022-02-19,388,41730,0.93%,25.49
2022-02-18,314,39897,0.79%,26.43
2022-02-17,367,40579,0.9%,26.52
2022-02-16,368,39596,0.93%,26.7
2022-02-15,402,43010,0.93%,28.2
2022-02-14,379,38036,1%,27.98
2022-02-13,357,42325,0.84%,27.64
2022-02-12,403,40863,0.99%,27.44
2022-02-11,388,40644,0.95%,28.05
2022-02-10,336,43001,0.78%,28.12
2022-02-09,365,40394,0.9%,26.89
2022-02-08,395,40673,0.97%,27.06
2022-02-07,358,38615,0.93%,25.63
2022-02-06,423,41714,1.01%,25.84
2022-02-05,385,38659,1%,25.3
2022-02-04,349,39585,0.88%,27.19
2022-02-03,392,35649,1.1%,25.88
2022-02-02,361,33876,1.07%,27.95
2022-02-01,376,41233,0.91%,29.48
2022-01-31,371,37395,0.99%,25.97
2022-01-30,389,38123,1.02%,24.86
2022-01-29,421,37090,1.14%,24.39
2022-01-28,355,36817,0.96%,25.59
2022-01-27,415,37286,1.11%,25.29
2022-01-26,367,38090,0.96%,25.67
2022-01-25,407,38837,1.05%,25.38
2022-01-24,378,36757,1.03%,25.37
2022-01-23,409,39682,1.03%,25.4
2022-01-22,423,35820,1.18%,23.64
2022-01-21,397,33910,1.17%,24.94
2022-01-20,379,34900,1.09%,25.06
2022-01-19,366,35283,1.04%,24.89
2022-01-18,426,35470,1.2%,24.35
2022-01-17,435,37099,1.17%,24.54
2022-01-16,407,38612,1.05%,24.42
2022-01-15,417,38444,1.08%,24.93
2022-01-14,392,39233,1%,26.16
2022-01-13,434,40406,1.07%,26.02
2022-01-12,460,41465,1.11%,27.11
2022-01-11,416,41907,0.99%,25.68
2022-01-10,413,43093,0.96%,25.98
2022-01-09,507,43956,1.15%,24.46
2022-01-08,480,42526,1.13%,24.56
2022-01-07,429,41836,1.03%,25.6
2022-01-06,421,42640,0.99%,26.51
2022-01-05,420,44071,0.95%,26.9
2022-01-04,476,44710,1.06%,28.39
2022-01-03,420,41278,1.02%,26.85
2022-01-02,402,43205,0.93%,27.55
2022-01-01,378,39719,0.95%,28.66
2021-12-31,246,34021,0.72%,30.47
2021-12-30,362,39024,0.93%,27.72
2021-12-29,377,41026,0.92%,27.2
2021-12-28,398,39601,1.01%,25.72
2021-12-27,453,41026,1.1%,24.72
2021-12-26,432,42823,1.01%,25.15
2021-12-25,361,38560,0.94%,26.73
2021-12-24,327,36952,0.88%,29.12
2021-12-23,399,40460,0.99%,28.55
2021-12-22,390,38740,1.01%,24.96
2021-12-21,448,41762,1.07%,24.57
2021-12-20,511,43570,1.17%,23.8
2021-12-19,501,46530,1.08%,23.16
2021-12-18,528,45613,1.16%,23.92
2021-12-17,506,44059,1.15%,22.82
2021-12-16,494,47507,1.04%,21.08
2021-12-15,581,56295,1.03%,20.4
2021-12-14,585,55261,1.06%,20.27
2021-12-13,600,54075,1.11%,20
2021-12-12,671,56755,1.18%,21.91
2021-12-11,638,54546,1.17%,24.2
2021-12-10,539,45570,1.18%,24.32
2021-12-09,560,47855,1.17%,24.62
2021-12-08,585,49474,1.18%,23.56
2021-12-07,600,53084,1.13%,25.45
2021-12-06,593,48594,1.22%,23.31
2021-12-05,624,54064,1.15%,25.42
2021-12-04,559,48841,1.14%,25.93
2021-12-03,507,46903,1.08%,27.12
2021-12-02,487,48187,1.01%,26.63
2021-12-01,535,50280,1.06%,26.64
2021-11-30,543,53607,1.01%,27.53
2021-11-29,594,51778,1.15%,24.62
2021-11-28,607,52436,1.16%,24.47
2021-11-27,584,48553,1.2%,24.81
2021-11-26,647,50642,1.28%,23.84
2021-11-25,516,48290,1.07%,25.85
2021-11-24,498,42261,1.18%,25.62
2021-11-23,498,47108,1.06%,26.48
2021-11-22,563,43911,1.28%,24.92
2021-11-21,513,44689,1.15%,24.56
2021-11-20,494,43897,1.13%,26.33
2021-11-19,472,38284,1.23%,26.42
2021-11-18,454,38607,1.18%,26.16
2021-11-17,457,44080,1.04%,27.59
2021-11-16,465,45636,1.02%,26.85
2021-11-15,517,49914,1.04%,27.93
2021-11-14,565,50401,1.12%,26.84
2021-11-13,463,49021,0.94%,28.64
2021-11-12,445,44552,1%,27.85
2021-11-11,442,44966,0.98%,27.8
2021-11-10,441,48864,0.9%,29.93
2021-11-09,474,46791,1.01%,28.51
2021-11-08,495,48762,1.02%,27.64
2021-11-07,511,47304,1.08%,25.65
2021-11-06,435,42477,1.02%,25.75
2021-11-05,393,39180,1%,25.34
2021-11-04,454,38956,1.17%,24.43
2021-11-03,445,41818,1.06%,26.12
2021-11-02,394,42267,0.93%,25.94
2021-11-01,507,44525,1.14%,26.27
2021-10-31,445,39701,1.12%,24.66
2021-10-30,462,43433,1.06%,25.7
2021-10-29,427,39648,1.08%,24.16
2021-10-28,387,42087,0.92%,24.98
2021-10-27,449,49746,0.9%,33
2021-10-26,459,43183,1.06%,22.9
2021-10-25,456,44125,1.03%,22.94
2021-10-24,507,46081,1.1%,23.11
2021-10-23,459,42957,1.07%,24.42
2021-10-22,449,40781,1.1%,25.23
2021-10-21,426,42473,1%,24.97
2021-10-20,452,45671,0.99%,26.3
2021-10-19,424,44781,0.95%,24.63
2021-10-18,425,43479,0.98%,23.66
2021-10-17,491,44608,1.1%,22.88
2021-10-16,412,43869,0.94%,25.04
2021-10-15,489,43742,1.12%,25.78
2021-10-14,411,45232,0.91%,25.66
2021-10-13,431,46020,0.94%,25.24
2021-10-12,461,44309,1.04%,23.39
2021-10-11,485,46933,1.03%,25.21
2021-10-10,499,45385,1.1%,23.28
2021-10-09,408,42369,0.96%,25.36
2021-10-08,401,41720,0.96%,26.18
2021-10-07,436,42755,1.02%,25.41
2021-10-06,384,40010,0.96%,24.58
2021-10-05,461,45167,1.02%,25.87
2021-10-04,436,44906,0.97%,25.65
2021-10-03,444,46932,0.95%,25.82
2021-10-02,422,43625,0.97%,27.09
2021-10-01,396,44009,0.9%,27.2
2021-09-30,396,46800,0.85%,27.98
2021-09-29,405,47221,0.86%,25.77
2021-09-28,429,48781,0.88%,25.11
2021-09-27,472,49386,0.96%,25.98
2021-09-26,444,51147,0.87%,24.95
2021-09-25,466,46311,1.01%,25.4
2021-09-24,454,47021,0.97%,26.91
2021-09-23,438,47486,0.92%,25.48
2021-09-22,478,49135,0.97%,25.54
2021-09-21,441,48498,0.91%,24.93
2021-09-20,465,48561,0.96%,25
2021-09-19,499,46293,1.08%,23.94
2021-09-18,455,50913,0.89%,26.45
2021-09-17,418,45826,0.91%,25.55
2021-09-16,411,44873,0.92%,25.37
2021-09-15,431,45833,0.94%,27.28
2021-09-14,409,43128,0.95%,27.24
2021-09-13,409,45383,0.9%,26.17
2021-09-12,430,42263,1.02%,26.19
2021-09-11,439,42811,1.03%,26.52
2021-09-10,382,42297,0.9%,27
2021-09-09,364,38219,0.95%,25.37
2021-09-08,417,39904,1.05%,26.11
2021-09-07,378,39287,0.96%,25.09
2021-09-06,442,38871,1.14%,26.75
2021-09-05,416,37567,1.11%,27.04
2021-09-04,406,38433,1.06%,28.05
2021-09-03,355,38151,0.93%,28.94
2021-09-02,335,38537,0.87%,29.06
2021-09-01,342,39182,0.87%,30.84
2021-08-31,377,45761,0.82%,37.37
2021-08-30,377,37823,1%,28.75
2021-08-29,390,36052,1.08%,28
2021-08-28,355,38229,0.93%,29.36
2021-08-27,311,34376,0.9%,27.97
2021-08-26,385,34001,1.13%,28.21
2021-08-25,335,34160,0.98%,29.21
2021-08-24,307,27091,1.13%,28.04
2021-08-23,266,24890,1.07%,26.64
2021-08-22,373,34097,1.09%,29.56
2021-08-21,324,36134,0.9%,30.5
2021-08-20,316,33824,0.93%,28.86
2021-08-19,333,33934,0.98%,28.6
2021-08-18,321,37078,0.87%,30.54
2021-08-17,334,36453,0.92%,29.08
2021-08-16,318,36617,0.87%,30.94
2021-08-15,352,36150,0.97%,29.12
2021-08-14,289,37182,0.78%,30.41
2021-08-13,310,34780,0.89%,30.97
2021-08-12,296,45169,0.66%,39.58
2021-08-11,296,33592,0.88%,29.84
2021-08-10,300,33016,0.91%,29.26
2021-08-09,365,36293,1.01%,30.97
2021-08-08,350,35927,0.97%,29.05
2021-08-07,291,34454,0.84%,30.55
2021-08-06,305,35459,0.86%,31.51
2021-08-05,329,33232,0.99%,31.87
2021-08-04,360,34087,1.06%,32.51
2021-08-03,355,31299,1.13%,30.8
2021-08-02,300,36833,0.81%,34.45
2021-08-01,292,32033,0.91%,32.28
2021-07-31,311,35749,0.87%,34.84
2021-07-30,318,32267,0.99%,33.1
2021-07-29,289,32704,0.88%,30.87
2021-07-28,288,32373,0.89%,32.76
2021-07-27,296,30757,0.96%,32.23
2021-07-26,341,32523,1.05%,33.4
2021-07-25,369,31168,1.18%,31.34
2021-07-24,304,29833,1.02%,34.03
2021-07-23,325,29789,1.09%,32.83
2021-07-22,310,30868,1%,32.18
2021-07-21,323,32256,1%,33.33
2021-07-20,301,31563,0.95%,32.71
2021-07-19,307,33183,0.93%,32.8
2021-07-18,316,31525,1%,32
2021-07-17,317,31608,1%,32.22
2021-07-16,308,31641,0.97%,32.8
2021-07-15,299,31124,0.96%,31.86
2021-07-14,280,33152,0.84%,33
2021-07-13,319,32637,0.98%,31.95
2021-07-12,297,33979,0.87%,33.76
2021-07-11,328,31081,1.06%,30.98
2021-07-10,282,33769,0.84%,34.06
2021-07-09,294,31042,0.95%,31.25
2021-07-08,321,31219,1.03%,31.07
2021-07-07,334,33498,1%,31.63
