Paese,Clic,Impressioni,CTR,Posizione
Barbados,9,6825,0.13%,35.11
Nicaragua,9,5242,0.17%,42.77
Senegal,9,3610,0.25%,42.86
Repubblica Democratica del Congo,9,1765,0.51%,38.27
Isole Vergini Statunitensi,9,692,1.3%,29.14
Tanzania,7,4170,0.17%,36.6
Madagascar,7,3459,0.2%,39.45
Siria,6,5199,0.12%,38.01
Yemen,6,5175,0.12%,43.29
Zambia,6,3150,0.19%,33.66
Botswana,6,2309,0.26%,35.59
Antigua e Barbuda,6,1542,0.39%,32.67
Bermuda,6,1210,0.5%,28.5
Isole Cayman,6,1059,0.57%,29.92
Isole Fær Øer,6,244,2.46%,13.72
Palestina,5,34103,0.01%,46.15
Guiana,5,2221,0.23%,32.96
Gibilterra,5,306,1.63%,16.86
Liechtenstein,5,118,4.24%,16.35
Bolivia,4,15899,0.03%,43.48
Zimbabwe,4,3983,0.1%,33.46
Cuba,4,3288,0.12%,46.14
Mozambico,4,2129,0.19%,41.01
Gabon,4,1174,0.34%,40
Isole Vergini britanniche,4,1008,0.4%,40.46
Aruba,4,863,0.46%,27.81
Andorra,4,680,0.59%,37.16
Nuova Caledonia,4,414,0.97%,44.8
Polinesia Francese,4,349,1.15%,37.76
Sudan,3,7363,0.04%,42.2
Angola,3,3703,0.08%,42.02
Belize,3,2657,0.11%,33.37
Riunione,3,1549,0.19%,42.78
Curaçao,3,1359,0.22%,34.46
Dominica,3,823,0.36%,33.48
Sierra Leone,3,369,0.81%,33.44
Isole BES,3,209,1.44%,33.51
Paraguay,2,10915,0.02%,44.18
Haiti,2,2416,0.08%,42.16
Togo,2,1938,0.1%,44.11
Malawi,2,1712,0.12%,34.82
Suriname,2,1590,0.13%,37.38
Benin,2,1284,0.16%,40.82
Grenada,2,1205,0.17%,34.33
Saint Kitts e Nevis,2,1169,0.17%,34.71
Guam,2,1126,0.18%,23.57
Repubblica del Congo,2,941,0.21%,37.93
Mali,2,780,0.26%,39.92
Saint Vincent e Grenadine,2,709,0.28%,31.09
Martinica,2,708,0.28%,44.75
Sint Maarten,2,705,0.28%,32.36
Papua Nuova Guinea,2,599,0.33%,27.07
Niger,2,550,0.36%,42.15
Isole Turks e Caicos,2,544,0.37%,29.32
Lesotho,2,540,0.37%,25.62
Burkina Faso,2,488,0.41%,38.72
Anguilla,2,286,0.7%,33.17
Saint Martin,2,59,3.39%,15.97
Afghanistan,1,3589,0.03%,42.96
Somalia,1,1540,0.06%,40.42
Santa Lucia,1,1436,0.07%,33.57
Capo Verde,1,897,0.11%,43.22
Figi,1,792,0.13%,26.91
Gambia,1,586,0.17%,32.77
Burundi,1,320,0.31%,39.78
Timor Est,1,216,0.46%,35.15
Sudan del Sud,1,204,0.49%,28.88
Isole Åland,1,104,0.96%,18.15
Isole Marshall,1,46,2.17%,40.09
Saint Barthélemy,1,39,2.56%,14.38
Territori Britannici dell'Oceano Indiano,1,10,10%,36.8
Isola Norfolk,1,4,25%,2.5
Ruanda,0,2004,0%,32.96
Mauritania,0,1165,0%,43.26
Guadalupa,0,854,0%,43.69
Bhutan,0,663,0%,28.11
Swaziland,0,498,0%,30.91
Liberia,0,302,0%,30.89
Guiana Francese,0,300,0%,42.39
Groenlandia,0,256,0%,36.11
Guinea Equatoriale,0,246,0%,41.24
Sahara occidentale,0,239,0%,46.38
Ciad,0,206,0%,38.68
Guinea,0,201,0%,37.15
Gibuti,0,158,0%,27.46
Marianne settentrionali,0,140,0%,14.36
Mayotte,0,123,0%,39.65
Svalbard e Jan Mayen,0,117,0%,42.38
Vanuatu,0,105,0%,38.67
Samoa,0,101,0%,28.79
Samoa Americane,0,93,0%,32.55
Montserrat,0,92,0%,32.48
São Tomé e Príncipe,0,92,0%,40.58
Comore,0,91,0%,40.71
Isole Salomone,0,83,0%,33.2
Micronesia,0,70,0%,39.19
Palau,0,65,0%,34.82
Tonga,0,64,0%,28.09
Guinea-Bissau,0,53,0%,35.58
Kiribati,0,34,0%,29.88
Repubblica Centrafricana,0,31,0%,23.26
Isole Cook,0,29,0%,35.48
Eritrea,0,28,0%,20.75
Saint-Pierre e Miquelon,0,17,0%,42.65
Isole Falkland (Malvine),0,14,0%,23.14
Nauru,0,13,0%,27.38
Tuvalu,0,12,0%,42.33
St. Helena,0,10,0%,8.3
Corea del Nord,0,7,0%,2.14
Isola di Natale,0,4,0%,14.75
Antartide,0,2,0%,2.5
Wallis e Futuna,0,2,0%,35.5
Niue,0,2,0%,52
